datetime,id,rank
2018-03-07 22:17:18.107721,18,59
2018-03-07 22:17:18.107721,19,205
2018-03-07 22:17:18.107721,20,2657
2018-03-07 22:17:18.107721,21,10396
2018-03-07 22:17:18.107721,22,1022
2018-03-07 22:17:18.107721,23,1661
2018-03-07 22:17:18.107721,24,9680
2018-03-07 22:17:18.107721,25,4588
2018-03-07 22:17:18.107721,26,13712
2018-03-07 22:17:18.107721,27,80
2018-03-07 22:17:18.107721,28,10296
2018-03-07 22:17:18.107721,29,160
2018-03-07 22:17:18.107721,30,108
2018-03-07 22:17:18.107721,31,157
2018-03-07 22:17:18.107721,32,700
2018-03-07 22:17:18.107721,33,1312
2018-03-07 22:17:18.107721,34,31886
2018-03-07 22:17:18.107721,35,186
2018-03-07 22:17:18.107721,36,321
2018-03-07 22:17:18.107721,37,65
2018-03-07 22:17:18.107721,38,373
2018-03-07 22:17:18.107721,39,979
2018-03-07 22:17:18.107721,40,1232
2018-03-07 22:17:18.107721,41,3847
2018-03-07 22:17:18.107721,42,242
2018-03-07 22:17:18.107721,43,405
2018-03-07 22:17:18.107721,44,285
2018-03-07 22:17:18.107721,45,2966
2018-03-07 22:17:18.107721,46,1080
2018-03-07 22:17:18.107721,47,478
2018-03-07 22:17:18.107721,48,187
2018-03-07 22:17:18.107721,49,31
2018-03-07 22:17:18.107721,50,1575
2018-03-07 22:17:18.107721,52,332
2018-03-07 22:17:18.107721,53,382
2018-03-07 22:17:18.107721,54,968
2018-03-07 22:17:18.107721,55,159
2018-03-07 22:17:18.107721,56,4545
2018-03-07 22:17:18.107721,57,1986
2018-03-07 22:17:18.107721,58,7895
2018-03-07 22:17:18.107721,59,5787
2018-03-07 22:17:18.107721,60,1596
2018-03-07 22:17:18.107721,61,6756
2018-03-07 22:17:18.107721,62,98
2018-03-07 22:17:18.107721,63,303
2018-03-07 22:17:18.107721,64,254
2018-03-07 22:17:18.107721,65,128
2018-03-07 22:17:18.107721,66,829
2018-03-07 22:17:18.107721,67,949
2018-03-07 22:17:18.107721,68,110
2018-03-07 22:17:18.107721,69,77
2018-03-07 22:17:18.107721,70,995
2018-03-07 22:17:18.107721,71,1448
2018-03-07 22:17:18.107721,72,232
2018-03-07 22:17:18.107721,73,56
2018-03-07 22:17:18.107721,74,4663
2018-03-07 22:17:18.107721,75,17820
2018-03-07 22:17:18.107721,76,1134
2018-03-07 22:17:18.107721,78,633
2018-03-07 22:17:18.107721,79,1361
2018-03-08 23:39:19.231371,0,465
2018-03-08 23:39:19.231371,1,232
2018-03-08 23:39:19.231371,2,641
